time_slots,overall_evaluation,name,semester,expected_participants,lecturers,maximum_participants,replies,line_code,minimum_participants,job_evaluation,language,ects_points,line_of_studies,programme,time_evaluation
"[{'room': '2A20', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '2A20', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '2A20', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}]",6.0,Computer Games Culture,Efterår 2012,20,['Emma Kate Witkowski'],25,0.18181818181818182,KGAMES,12,6.0,Engelsk,1500,cand.it. spil (games),KGAMES,5.0
"[{'room': 'Aud 1', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 1, 3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}, {'room': '3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",4.56,Design for Digital Communication Platforms,Efterår 2012,60,"['Brian Everitt', 'Brennan Young']",57,0.6119402985074627,KDDK,12,5.02,Dansk,1000,cand.it. digital design og kommunikation (ddk),KDDK,4.33
"[{'room': 'Aud 1', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 1, 3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}, {'room': '3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",4.56,Design for Digital Communication Platforms,Efterår 2012,60,"['Brian Everitt', 'Brennan Young']",57,0.6119402985074627,KDDK,12,5.02,Dansk,1000,cand.it. digital design og kommunikation (ddk),KDDK,4.33
"[{'room': 'Aud 2', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 2, 3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}, {'room': '3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",4.56,Design for Digital Communication Platforms,Efterår 2012,60,"['Brennan Young', 'Kenny Marek Møller']",70,0.6119402985074627,KDDK,12,5.02,Dansk,1000,cand.it. digital design og kommunikation (ddk),KDDK,4.33
"[{'room': 'Aud 2', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 2, 3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}, {'room': '3A50, 3A52, 4A54, 4A56, GameLab', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",4.56,Design for Digital Communication Platforms,Efterår 2012,60,"['Brennan Young', 'Kenny Marek Møller']",70,0.6119402985074627,KDDK,12,5.02,Dansk,1000,cand.it. digital design og kommunikation (ddk),KDDK,4.33
"[{'room': 'DesignLab', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.62,Digital Aesthetics,Efterår 2012,60,"['Susana Pajares Tosca', 'Kjell Yngve Petersen', 'Hanne-Louise Johannesen', 'Phillip Prager']",80,0.4027777777777778,BDMD,12,3.52,Engelsk,750,Bachelor i digitale medier og design (bdmd),BDMD,3.26
"[{'room': 'DesignLab', 'day': 'Torsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",5.57,Digital Aesthetics: Theory and Practice,Efterår 2012,10,"['Hanne-Louise Johannesen', 'Phillip Prager', 'Kjell Yngve Petersen']",30,0.35,KDDK,4,5.57,Dansk,1500,cand.it. digital design og kommunikation (ddk),KDDK,3.57
"[{'room': '4A22', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A22', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",5.5,Digital Culture and Society,Efterår 2012,25,['Irina Shklovski'],25,0.45454545454545453,KDDK,12,4.7,Engelsk,1500,cand.it. digital design og kommunikation (ddk),KDDK,3.6
"[{'room': 'GameLab ', 'day': 'Onsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': 'GameLab ', 'day': 'Onsdag', 'time_slot': '19.00-20.50', 'type': 'Forelæsning'}]",4.0,Digital Media - Interactive Design,Efterår 2012,30,['Benny Robert Jørgensen'],80,0.3333333333333333,MIND,12,4.25,Engelsk,750,Master i it Interaktionsdesign (ind),MIND,5.0
"[{'room': 'Aud 1', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 1', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.49,Digital Media and Communication,Efterår 2012,60,['Stine Gotved'],57,0.6140350877192983,KDDK,12,4.37,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.6
"[{'room': 'Aud 1', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 1', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.49,Digital Media and Communication,Efterår 2012,60,['Stine Gotved'],57,0.6140350877192983,KDDK,12,4.37,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.6
"[{'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.49,Digital Media and Communication,Efterår 2012,60,['Gitte Bang Stald'],62,0.6140350877192983,KDDK,12,4.37,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.6
"[{'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.49,Digital Media and Communication,Efterår 2012,60,['Gitte Bang Stald'],62,0.6140350877192983,KDDK,12,4.37,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.6
"[{'room': 'Aud 3', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A54, 4A20, (Aud 3)', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",4.21,Digital Rhetorics,Efterår 2012,70,"['Lisbeth Klastrup', 'Torill Mortensen']",77,0.38666666666666666,KDDK,12,4.24,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.34
"[{'room': '2A14', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A14, 4A14, 4A22', 'day': 'Tirsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.6,Distributed Collaboration and Development,Efterår 2012,30,['Pernille Bjørn'],35,0.4411764705882353,KSDT,12,4.73,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.0
"[{'room': '3A12/14', 'day': 'Torsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '3A50, 3A52', 'day': 'Torsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.5,Dynamic Web Design,Efterår 2012,25,['Tess Gaston Løvgreen'],70,0.2962962962962963,MIND,12,4.94,Dansk,750,Master i it Interaktionsdesign (ind),MIND,3.38
"[{'room': '2A14, 3A52', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A14, 3A52', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '4A14, 3A52', 'day': 'Fredag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A14, 3A52', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",5.0,Enterprise Systems & Information Management,Efterår 2012,40,"['Ann Rosenberg', 'Lene Pries-Heje']",60,0.23809523809523808,BGBI,12,5.3,Engelsk,1500,Bachelor i global virksomhedsinformatik (bgbi),BGBI,4.4
"[{'room': '2A12', 'day': 'Mandag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A20', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.33,Experimental Design and Analysis,Efterår 2012,15,['Klaus Svarre Christensen'],35,0.4838709677419355,KDDK,12,4.56,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.44
