Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
UL;Data Security (16:00-21:30);6 of 26;23;5.17;6 of 26;23;5.17;6 of 26;23;5.33;6 of 26;23;4.50;6 of 26;23;4.33;6 of 26;23;5.00;6 of 26;23;3.17;6 of 26;23;3.50;6 of 26;23;4.83;6 of 26;23;4.00;6 of 26;23;4.00
UL;Database systems (13:00-19:00);2 of 6;33;5.50;2 of 6;33;6.00;2 of 6;33;6.00;2 of 6;33;5.50;2 of 6;33;3.00;2 of 6;33;5.00;2 of 6;33;2.50;2 of 6;33;3.00;2 of 6;33;6.00;2 of 6;33;3.50;2 of 6;33;4.00
UL;Database-based Web Publishing (16:00-21:30);5 of 21;23;5.40;5 of 21;23;5.60;5 of 21;23;5.40;5 of 21;23;5.80;5 of 21;23;2.60;5 of 21;23;5.00;5 of 21;23;1.60;5 of 21;23;5.00;5 of 21;23;5.00;5 of 21;23;2.80;5 of 21;23;3.00
UL;Distributed Systems (13:00-19:00);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;IT Project Management (16:00-21:30);8 of 24;33;5.25;8 of 24;33;5.38;8 of 24;33;5.12;8 of 24;33;4.88;8 of 24;33;3.88;8 of 24;33;4.12;8 of 24;33;3.62;8 of 24;33;4.88;8 of 24;33;5.00;8 of 24;33;3.38;8 of 24;33;3.12
UL;IT Strategy (net-based education);9 of 22;40;5.00;9 of 22;40;5.22;9 of 22;40;5.33;9 of 22;40;5.56;9 of 22;40;2.33;9 of 22;40;3.22;9 of 22;40;3.89;9 of 22;40;3.11;9 of 22;40;5.78;9 of 22;40;3.44;9 of 22;40;2.78
UL;Introductory Programming (net-based education);8 of 19;42;5.12;8 of 19;42;5.38;8 of 19;42;4.50;8 of 19;42;4.38;8 of 19;42;3.50;8 of 19;42;3.88;8 of 19;42;3.38;8 of 19;42;4.50;8 of 19;42;4.50;8 of 19;42;3.88;8 of 19;42;3.62
UL;Java on Mobile Devices (16:00-21:30);1 of 20;5;6.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;5.00;1 of 20;5;4.00;1 of 20;5;5.00
UL;Multimedia Production for the Internet (net-based education);11 of 38;28;5.45;11 of 38;28;5.64;11 of 38;28;4.73;11 of 38;28;5.55;11 of 38;28;3.91;11 of 38;28;3.73;11 of 38;28;3.64;11 of 38;28;4.45;11 of 38;28;5.18;11 of 38;28;4.55;11 of 38;28;4.18
UL;Networks and Protocols (13:00-19:00);2 of 7;28;5.50;2 of 7;28;6.00;2 of 7;28;6.00;2 of 7;28;4.00;2 of 7;28;3.50;2 of 7;28;5.00;2 of 7;28;3.50;2 of 7;28;5.50;2 of 7;28;5.50;2 of 7;28;4.00;2 of 7;28;2.00
UL;Object Oriented Programming (13:00-19:00);9 of 18;50;5.44;9 of 18;50;5.44;9 of 18;50;4.89;9 of 18;50;4.44;9 of 18;50;3.67;9 of 18;50;4.89;9 of 18;50;3.22;9 of 18;50;3.89;9 of 18;50;4.78;9 of 18;50;4.89;9 of 18;50;4.56
UL;Text Communication at the Internet (16:00-21:30);6 of 17;35;6.00;6 of 17;35;5.67;6 of 17;35;5.67;6 of 17;35;5.33;6 of 17;35;3.00;6 of 17;35;4.50;6 of 17;35;2.67;6 of 17;35;5.67;6 of 17;35;5.17;6 of 17;35;3.00;6 of 17;35;2.50
UL;Usability (16:00-21:30);4 of 16;25;5.50;4 of 16;25;5.50;4 of 16;25;5.75;4 of 16;25;6.00;4 of 16;25;2.75;4 of 16;25;4.75;4 of 16;25;3.25;4 of 16;25;5.00;4 of 16;25;5.25;4 of 16;25;3.50;4 of 16;25;3.00
UL;XML-processing - methods, tools and theories;12 of 50;24;4.67;12 of 50;24;5.42;12 of 50;24;4.92;12 of 50;24;5.08;12 of 50;24;3.75;12 of 50;24;4.25;12 of 50;24;3.25;12 of 50;24;3.58;12 of 50;24;4.67;12 of 50;24;3.83;12 of 50;24;3.42
